AAPL R735QTJ8XC9X,AAPL,536.74,5693824,3056103093,False,0.8961764,0.0357143
AIG R735QTJ8XC9X,AIG,50.01,5848227,292469832,False,0.8490797,1
BNO UN3IMQ2JU1YD,BNO,43.05,14901,641488,False,1,1
EEM SNQLASP67O85,EEM,40.99,65168113,2671240951,False,0.8727498,1
FB V6OIPNZEM8V9,FB,60.24,51836070,3122604856,False,1,1
GOOAV VP83T1ZUHROL,GOOAV,556.75,9559,5321973,False,1,1
GOOCV VP83T1ZUHROL,GOOCV,556.9,10865,6050718,False,1,0.997307
GOOG T1AZ164W5VTX,GOOG,1114.51,1857195,2069862399,False,1,0.5
IBM R735QTJ8XC9X,IBM,192.49,7214160,1388653658,False,0.7545881,1
IWM RV0PWMLXVHPH,IWM,116.34,39782540,4628300703,False,0.9089593,1
NB R735QTJ8XC9X,BAC,17.21,54214928,933038910,False,0.8843633,1
QQQ RIWIV7K5Z9LX,QQQ,87.68,29215241,2561592330,False,0.9378759,1
USO THORT68ZZSYT,USO,36.59,1992543,72907148,False,1,8
UW R735QTJ8XC9X,WM,42.07,3534702,148704913,False,0.847169,1
