AAPL R735QTJ8XC9X,AAPL,538.79,5684220,3062600893,False,0.8961764,0.0357143
AIG R735QTJ8XC9X,AIG,50.83,10466667,532020683,False,0.8490797,1
BNO UN3IMQ2JU1YD,BNO,42.42,3269,138670,False,1,1
EEM SNQLASP67O85,EEM,41.41,74542645,3086810929,False,0.8727498,1
FB V6OIPNZEM8V9,FB,59.49,82508541,4908433104,False,1,1
GOOCV VP83T1ZUHROL,GOOG,569.74,4894979,2788865335,False,1,0.997307
GOOG T1AZ164W5VTX,GOOGL,571.5,3966397,2266795885,False,1,1
IBM R735QTJ8XC9X,IBM,192.69,4012402,773149741,False,0.7545881,1
IWM RV0PWMLXVHPH,IWM,117.15,34925041,4091468553,False,0.9089593,1
NB R735QTJ8XC9X,BAC,17.14,52020921,891638585,False,0.8843633,1
QQQ RIWIV7K5Z9LX,QQQ,88.73,28025987,2486745826,False,0.9378759,1
USO THORT68ZZSYT,USO,36.14,1658463,59936852,False,1,8
UW R735QTJ8XC9X,WM,41.84,1581841,66184227,False,0.847169,1
