AAPL R735QTJ8XC9X,AAPL,531.82,9152044,4867240040,False,0.8961764,0.0357143
AIG R735QTJ8XC9X,AIG,50.55,12982430,656261836,False,0.8490797,1
BNO UN3IMQ2JU1YD,BNO,42.61,21304,907763,False,1,1
EEM SNQLASP67O85,EEM,41.29,120850970,4989936551,False,0.8727498,1
FB V6OIPNZEM8V9,FB,56.72,121853126,6911509306,False,1,1
GOOCV VP83T1ZUHROL,GOOG,543.14,6271401,3406248739,False,1,0.997307
GOOG T1AZ164W5VTX,GOOGL,545.25,5264678,2870565679,False,1,1
IBM R735QTJ8XC9X,IBM,191.77,6047794,1159785455,False,0.7545881,1
IWM RV0PWMLXVHPH,IWM,114.49,81629444,9345755043,False,0.9089593,1
NB R735QTJ8XC9X,BAC,16.73,105084141,1758057678,False,0.8843633,1
QQQ RIWIV7K5Z9LX,QQQ,86.37,105004938,9069276495,False,0.9378759,1
USO THORT68ZZSYT,USO,36.43,2033332,74074284,False,1,8
UW R735QTJ8XC9X,WM,41.83,1831557,76614029,False,0.847169,1
